epoch rss_kb fds watches staging_files staging_kb
1787865678 25608 11 4175 0 0
1787865708 25620 11 4175 0 0
1787865738 25644 11 4175 0 0
1787865768 29868 11 4175 0 0
1787865798 25644 11 4175 0 0
1787865828 29896 11 4175 0 0
1787865858 25536 11 4175 0 0
1787865888 25536 11 4175 0 0
1787865918 25536 11 4175 0 0
1787865948 25348 11 4175 0 0
1787865978 25544 11 4175 0 0
1787866008 25460 11 4175 0 0
1787866038 25468 11 4175 0 0
1787866068 27756 11 4175 0 0
1787866098 25464 11 4175 0 0
1787866128 25448 11 4175 0 0
1787866158 25480 11 4175 0 0
1787866188 25468 12 4175 0 0
1787866218 25520 11 4175 0 0
1787866248 25520 11 4175 0 0
1787866278 25600 11 4175 0 0
1787866308 25472 11 4175 0 0
1787866338 25540 11 4175 0 0
1787866368 25488 11 4175 0 0
1787866398 25496 11 4175 0 0
1787866428 25508 11 4175 0 0
1787866458 25428 11 4175 0 0
1787866488 25516 11 4175 0 0
1787866518 25348 11 4175 0 0
1787866548 25432 11 4175 0 0
1787866578 25432 11 4175 0 0
1787866608 25432 11 4175 0 0
